reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
AMFIPCYDYWGVT,B0090SI56Y,AMRDxn,"[0, 0]",The movie was entertaining and falls in line with the Wolverine story. Nice special effect and good story line. Recommended.,4.0,Entertaining,1387670400,"12 22, 2013"
A3G602Z4DWDZKS,B00005JL99,Matthew King,"[3, 6]","One thing to be said about Japanese horror/extreme action is that it could seldom, if ever, be accused of being formulaic.  Some of the most ingenious storylines ever thought of have come from Japanese films(see Ringu, Suicide Club, Kairo, Uzumaki).  But while the ideas are in place the problem is often with the execution of the film.  Overacting, cheap special effects and slow pacing between action scenes have often plagued the Japanese films I have bore witness to.  Not so with Battle Royale.  The concept is pure genius and believe me, the execution even better.Kitano is a strict teacher whose source of pride comes from being able to instill discipline in the young.  He is for the most part very successful at this and highly respected among his students.  Then one afternoon, an out-of-control student who he reprimands stabs him in the back of the leg.  Following this incident Kitano quits his teaching job and disappears out of sight.  Fast forward to a few years later.  A group of 42 students(who appear to be in their mid-teens) board a bus to go on a class trip.  At some point during the bus ride a sleeping gas is unleashed and all the students fall asleep.  When they wake up, they find themselves cramped in a classroom and with a tight metallic necklace tied around their necks.  To their great surprise, in through the door walks Kitano, who most have had as a 7th grade teacher.  Kitano informs them of a game he has devised called Battle Royale that they have been randomly selected to be a part of.  Battle Royale is Kitano's sadistic vengeful way of getting back to the youths he feels lack discipline and `mock' adults.The rules behind Battle Royale are this; The students are now on a remote island where all 42 of them will be pitted against each other in a game to the death.  Each student is given a backpack that includes water, food, a weapon, a compass and a map of the island.  The last person standing gets to go home free.  There is a catch however.  They only have 3 days.  If more than one person is left standing after 3 days, their collars will all blow.  The island is also mapped with regions that contain shifting `danger zones', of which Kitano informs them of over a loud speaker.  If someone is still standing in a danger zone after Kitano makes the announcement their collar will explode.From the moment the rules of Battle Royale are transmitted to the kids, the film's frenetic pace never lets up.  Director Kinji Fukasaku pulls absolutely no punches here, making this a no-holds-barred extreme version of Lord of the Flies that is compulsively watchable.  The acting performances he is able to draw out of these kids is remarkable.  Part of what Fukasaku seems to be trying to achieve with this film is to give us a character study of how different some kids can be from others and how differently they can react when faced with peril.  One group commits suicide instantly, refusing to be a part of the sadistic game they're forced to play.  Another group spends their time shacked up in a cabin, trying to figure out a way to hack through Kitano's system so they can get the collars off their necks.  One group of women simply decide to live as normally as they usually would by cooking, exchanging stories, staying civilized.  And of course, some kids choose to become killing machines, determined to be the one to get out of the game alive.Director Fukasaku's choice of filming locations is absolutely stunning, from the lush tropical jungles, to the edge of the sea, the lighthouse, etc.  The film's image looks surprisingly sharp and clear for a non-hollywood production.  The only thing I would have to complain about are the English subtitles.  They are filled with grammatical errors and poor sentence structuring.  I also got the impression that many parts of the dialogue were missing or were not presented accurately.  Hopefully, Battle Royale will see a North American DVD reissue that will be dubbed or at least have better subtitles.  I'm not hoping for a North American remake however.  It would probably be a PG-13 `message' film starring the likes of Frankie Muniz and the Olsen twins. Ugh!!Battle Royale is an action classic not to be missed.  It's adrenaline-fuelled pace will appeal to action fans, it's bloody carnage and gore will appeal to horror fans.  This is a film that puts just about any North American action film to shame. A modern cult classic that deserves a wider distribution.",5.0,Absolutely stunning! A battle not to be missed!,1069200000,"11 19, 2003"
A33BOYMVG3U58Y,B00109KN0M,TV Critic,"[27, 28]","Michelle Pfeiffer gives a brilliant performance as a working mother who falls for a young man (the always funny Paul Rudd) in this light-hearted comedy.  It's a shame that this movie wasn't released in theaters in the US because it's one of the best performances that Michelle Pfeiffer has given.  She's fun, charming, and more beautiful then ever.The script and direction are well done by Amy Heckerling and it's nice to see her re-team with some of the cast that shined in her crowning-achievement, Clueless (Stacey Dash, Wallace Shawn, and of course, Paul Rudd).This is definitely a fun romantic comedy worth seeing.  The supporting players are all great, especially Saoirse Ronan, who plays Michelle Pfeiffer's daughter, gives a terrific performance.  Stacey Dash is fun as well playing a B-rated actress with a diva attitude.",5.0,Michelle Pfeiffer shines,1202860800,"02 13, 2008"
ANEDXRFDZDL18,B00005JMPT,Serene Night,"[3, 4]","I wanted to see &quot;The Missing&quot; when it came out in the movie theater but for one reason or another it passed me by. Rented the DVD, and quite frankly loved it. Tommy Lee Jones does a great job as the cantankerous grandfather, and Cate Blanchett was excellent as the hardened rancher.The plot: When a rancher's daughter is kidnapped she appeals to her estranged tracker grandfather for assistance. Together they track the kidnappers across the frontier and face mutual hardship. Can they save her Lilly or is she doomed for slavery in Mexico?I really liked the film. The cinematography was beautiful and I liked the scenes with the Native American actors. I did think some scenes were unnecessarily gruesome (the murdered ranch hands), (the tooth removal scene), but that's what the fast forward button is for. Oh, and I also thought Lilly was a complete waste of space. I think this movie would've had more impact if the person kidnapped was someone I actually liked.Excellent film. Because of violence and some gruesome scenes, I recommend for 18+ or older.",5.0,Hard Gritty Western,1087516800,"06 18, 2004"
A1VN7IS16PY024,B00005AAA9,Amazon Customer,"[0, 0]","I think &#34;Miss Congeniality&#34; is a light hearted entertaining movie.  After a hard day I don't want to be informed, educated, nerve-wracked with suspense or have my consciousness raised.  I want to veg.  This movie puts me in a vegetative state.  I would have given it  five stars but I don't really appreciate some of the language.  (Don't even start down the prudish, judgemental road.  It's my review and my opinion.)  All in all, a fun way to waste a couple of hours.",4.0,Very entertaining but.....,1382400000,"10 22, 2013"
A1WXH5CI1PDWZZ,B001DRF83S,scrApyArd209,"[0, 0]","YEAH! Its Goku, he back but small again and adventurous on planet to planet to find the black star dragon ball. Its digital remaster on 5 Disc including a booklet. The case is awesone with cool design. But its digital remaster with audio Japanese(English Sub), English(5.1), and English TV version(Stereo). Want to watch it why not in marathon mode, yes watch it ongoing without opening and ending interfering your watching experience except for switching disc. Disc include trailer from different anime dub by Funimation.",5.0,Dragon Ball GT Season 1,1388102400,"12 27, 2013"
A30TK6U7DNS82R,0780625609,Kevin Killian,"[9, 10]","People say, why isn't SONG OF THE SOUTH on DVD, well, I say, why isn't Richard Linklater's SubURBIA on DVD?  His brilliant study of disaffected twenty year olds longing for success in the parking lot of a 7-11 knockoff made his previous films SLACKER and DAZED AND CONFUSED look like variety show skits, and yet so many of us have never gotten a chance to see this movie.  They say that Disney is wary of releasing SONG OF THE SOUTH because of its patronizing use of black actors to embody racial stereotypes (happy slaves, etc).  Same is true with SUBURBIA which has some nasty racial stereotypes at the Chinese restaurant to which some of the characters repair while hungry.",5.0,"Yes, But",1163030400,"11 9, 2006"
A3DG9QOFBA4PLB,B001K98M7S,Dominic Jones,"[0, 1]",this is also another really good anime series i love japanese anime i have a lot of japanese anime series on dvd i have other cartoon series on dvd as well.,5.0,GREAT,1386201600,"12 5, 2013"
AO3ZVS2A1SZ3Y,0780021045,J. Gabrielson,"[0, 0]","I have had copies of this series in VHS and DVD. I also own the book upon which the trilogy is based. This digital version has the best visuals of all, The subtitles are clear for a change. The story is a great adventure tale with plenty of action and fine acting by Mifune and company. My only quibble with this Criterion version is that certain scenes are cut in a way that is irritating to me. Therefore the continuity is interrupted. The VHS version has all the action but not the clarity of this digital form. However, it's subtitles are poorly translated and sometimes unreadable. This should not deter new viewers from watching one of the best adventure series ever produced anywhere in the world. The third in the series has one of the greatest finales ever madein this genre.",5.0,A long-time favorite of mine,1392681600,"02 18, 2014"
AOB5695UUUJ0,B00E688U9K,"Anime Lover ""D""","[32, 42]","The group finds themselves on a tropical island, seemingly free from the outbreak.  AS the gang enjoys some time that does not involve killing zombies or fighting to survive, it is when they set a fire of some leaves that things get ""interesting"". Can they snap out of it before something bad happens?This story does not really have a place between the first and soon to be coming second season, but it is a good escape from the horror that they have had to endure so far.  A good hold over until they bring the new season over and we learn the fates of this group and the world they reside in.",4.0,An entertaining - yet strange story,1375315200,"08 1, 2013"
